timestamps,rpm,speed,A/F LSU,Short FT,fuelPress,throttle,Manifold,waterTemp,airTemp,ecuTemp,batt,ignSw,Temp LSU,Long FT,A/F SP,injTime,injDuty,injPhase,AccelEnrich,idleTarget,iac,SparkAdv,zoneFlags,O2 Learn,Closed Loop,inj1 status,inj2 status,inj3 status,inj4 status,inj5 status,inj6 status,inj7 status,inj8 status,coil1 status,coil2 status,coil3 status,coil4 status
4.072,1669,38.900000000000006,13.85,-1.3000000193715096,46.84719077311456,13.333333333333334,-12.400726969353855,170.60000000000002,122.00000000000001,302.0,12.352941744029522,13.62353003770113,1450.4,-5.0,13.90000020712614,4.558000216493383,6,360.0,0.0,675,9.411764860153198,27.5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1
4.187,1666,38.900000000000006,14.0,0.0,46.84719077311456,13.333333333333334,-12.400726969353855,170.60000000000002,122.00000000000001,302.0,12.494118221104145,13.62353003770113,1450.4,-5.0,13.90000020712614,4.558000216493383,6,360.0,0.0,675,9.411764860153198,27.5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1
4.314,1656,38.900000000000006,14.100000000000001,-0.2500000037252903,46.992228515446186,13.333333333333334,-12.342711872421205,170.60000000000002,122.00000000000001,302.0,12.423529982566833,13.62353003770113,1448.6000000000001,-5.0,13.90000020712614,4.591000218060799,6,360.0,0.0,675,9.411764860153198,27.25,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1
4.392,1669,38.900000000000006,14.25,0.9500000141561031,46.992228515446186,13.333333333333334,-12.42973451782018,170.60000000000002,122.00000000000001,302.0,12.494118221104145,13.694118276238441,1443.2,-5.0,13.90000020712614,4.544000215828419,6,360.0,0.0,675,9.411764860153198,27.5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1
4.473,1670,38.900000000000006,13.9,0.850000012665987,46.84719077311456,13.333333333333334,-12.516757163219154,170.60000000000002,122.00000000000001,302.0,12.423529982566833,13.62353003770113,1446.8,-6.0,13.90000020712614,4.506000214023516,6,360.0,0.0,675,9.411764860153198,27.75,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1
4.598,1667,38.900000000000006,13.75,-0.9000000134110451,46.84719077311456,12.941176470588236,-12.545764711685479,170.60000000000002,122.00000000000001,302.0,12.494118221104145,13.62353003770113,1448.6000000000001,-5.0,13.90000020712614,4.494000213453546,6,360.0,0.0,675,9.411764860153198,27.75,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1
4.658,1666,38.900000000000006,13.9,-0.20000000298023224,46.84719077311456,12.941176470588236,-12.545764711685479,170.60000000000002,122.00000000000001,302.0,12.423529982566833,13.62353003770113,1446.8,-5.0,13.90000020712614,4.494000213453546,6,360.0,0.0,675,9.411764860153198,27.75,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1
4.763,1662,38.900000000000006,13.7,-0.7000000104308128,46.84719077311456,12.941176470588236,-12.516757163219154,170.60000000000002,122.00000000000001,302.0,12.352941744029522,13.62353003770113,1443.2,-5.0,13.90000020712614,4.5080002141185105,6,360.0,0.0,675,9.411764860153198,27.75,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1
4.916,1654,38.900000000000006,14.05,0.850000012665987,46.84719077311456,12.941176470588236,-12.516757163219154,170.60000000000002,122.00000000000001,302.0,12.352941744029522,13.552941799163818,1443.2,-5.0,13.90000020712614,4.510000214213505,6,360.0,0.0,675,9.411764860153198,27.5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1
4.986,1660,38.800000000000004,14.0,0.7000000104308128,46.84719077311456,12.941176470588236,-12.516757163219154,170.60000000000002,122.00000000000001,302.0,12.28235350549221,13.552941799163818,1446.8,-5.0,13.90000020712614,4.510000214213505,6,360.0,0.0,675,9.411764860153198,27.75,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1
